brand,model,processor_brand,processor_Name,processor_gnrtn,ram_gb,Apps,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,Price
ASUS,Vivobook,Intel,Core i5,9th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,54490
APPLE,2021,Apple,Core i5,Missing,8,DDR4,1024,0,Mac,64,0,Casual,16.2,1,No,No,309990
Lenovo,Legion,Intel,Core i5,9th,8,DDR4,256,1024,Windows,64,4,Casual,15.6,1,No,Yes,60990
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,53990
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,66999
Lenovo,Ideapad,AMD,Core i5,Missing,8,DDR4,256,1024,Windows,64,0,Gaming,15.6,1,No,Yes,63990
Infinix,X1,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,8,Casual,14,0,No,No,54990
DELL,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,No,60790
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,71990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,No,48990
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,4,Casual,15.6,0,No,No,114990
Lenovo,Lenovo,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,99990
ASUS,VivoBook,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,58990
ASUS,Chromebook,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,24990
Lenovo,Thinkpad,AMD,Core i5,Missing,8,DDR4,512,0,Missing,64,0,ThinNlight,14,0,No,No,57490
acer,Intel,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,60990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,14.9,1,No,Yes,55790
acer,Aspire,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,No,46990
ASUS,Ryzen,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,79990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,Yes,64990
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,0,No,No,45650
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,41990
HP,15s,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,43690
ASUS,TUF,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,4,Gaming,17.3,1,No,Yes,77990
ASUS,Chromebook,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,21490
ASUS,Core,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,17.3,0,No,No,58990
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,Yes,129990
ASUS,Core,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,47990
APPLE,2020,Apple,Core i5,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,85990
DELL,Ryzen,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,93990
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,57999
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,0,ThinNlight,14,1,No,Yes,59999
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,66990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,77990
DELL,G15,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,79990
ASUS,VivoBook,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,0,No,No,56990
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,79990
DELL,Vostro,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,41990
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,72990
ASUS,TUF,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,No,63990
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,63990
Infinix,INBook,Intel,Core i5,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,32990
ASUS,Chromebook,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,23990
ASUS,ROG,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,4,Casual,15.6,1,No,No,77990
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,No,Yes,65990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,59990
DELL,Inspiron,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,45490
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,55990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,59990
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14.1,1,No,Yes,44990
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,63990
ASUS,ASUS,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,82990
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,4,Casual,13.4,1,Yes,Yes,114990
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,35990
HP,Envy,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,98020
DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,Yes,69490
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,38490
acer,Predator,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,99990
ASUS,EeeBook,Intel,Core i5,Missing,8,DDR4,0,0,Windows,64,0,Casual,0,0,No,No,22990
APPLE,MacBook,Intel,Core i5,10th,8,DDR4,1024,0,Mac,64,0,Casual,13,1,No,No,179990
HP,Chromebook,MediaTek,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,22990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,89390
ASUS,ZenBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,13.3,0,No,No,74990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,54990
acer,Nitro,AMD,Core i5,Missing,8,DDR4,0,0,Missing,32,6,Casual,0,0,No,No,93700
DELL,3000,Intel,Core i5,11th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,No,43800
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,93190
Lenovo,Core,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15,1,No,Yes,38990
APPLE,2021,Apple,Core i5,Missing,8,DDR4,1024,0,Mac,64,0,Casual,14.2,1,No,No,225990
acer,Aspire,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,0,No,No,34990
Lenovo,Thinkbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,3,Yes,Yes,64990
Lenovo,Legion,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,66490
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,40590
HP,Pavilion,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,1,No,Yes,71990
HP,HP,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,0,ThinNlight,13.3,1,Yes,Yes,92990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,Yes,48990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,Yes,89702
Lenovo,ThinkPad,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,Yes,44990
ASUS,ZenBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,No,Yes,94990
Lenovo,Thinkbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,3,Yes,Yes,84990
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,Yes,63990
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,Yes,70990
Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,36490
ASUS,Pentium,Intel,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,25990
HP,x360,Intel,Core i5,11th,8,DDR4,256,0,Missing,64,0,Casual,14,1,No,No,65390
ASUS,Pentium,Intel,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,25990
Infinix,INBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,42490
HP,Envy,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,Yes,144690
Lenovo,Core,Intel,Core i5,10th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,No,38990
DELL,3511,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,1,No,No,69900
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,2,No,Yes,42990
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,1,No,Yes,65990
ASUS,VivoBook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,No,34990
ASUS,Ryzen,AMD,Core i5,Missing,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,Yes,49890
MSI,GE76,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,6,Casual,0,0,No,No,291190
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,17.3,1,Yes,Yes,58990
Lenovo,Core,Intel,Core i5,10th,8,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,No,38970
Lenovo,Ideapad,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,Yes,57500
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,38900
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,49990
ASUS,ZenBook,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,0,ThinNlight,13.3,0,No,No,99990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,14,1,Yes,Yes,79990
DELL,Vostro,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,59490
ASUS,Asus,Intel,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,No,30780
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,84190
MSI,Modern,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,14,0,No,No,56541
ASUS,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,17.3,0,No,No,59990
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,0,No,No,37390
APPLE,MacBook,Intel,Core i5,10th,8,DDR4,1024,0,Mac,64,0,Casual,13,1,No,No,179990
MSI,Core,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,57990
Lenovo,ThinkBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13,1,No,Yes,64990
ASUS,Zenbook,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,0,Casual,14,0,Yes,No,112990
HP,Envy,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,73999
DELL,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,61290
ASUS,Chromebook,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,20490
HP,Envy,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,102990
Lenovo,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,54990
ALIENWARE,Core,NVIDIA,Core i5,Missing,8,DDR4,0,0,Missing,32,6,Casual,0,0,No,No,199990
DELL,Inspiron,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,No,39990
Lenovo,ThinkBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13,1,No,Yes,59990
MSI,Delta,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,0,Casual,15.6,0,No,No,146990
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,6,Casual,15.6,1,No,No,84990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,14,1,No,No,49990
HP,15s,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,45490
Lenovo,IdeaPad,Intel,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,31799
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,72500
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,59990
Lenovo,A6-9225,AMD,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,0,No,No,24990
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,60990
HP,Core,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,44900
DELL,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,99990
ASUS,Vivobook,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,Casual,14.1,1,No,No,37990
ASUS,Vivobook,Intel,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14.1,1,No,Yes,33990
DELL,G5,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,6,Casual,14.96,0,No,No,76190
Lenovo,Yoga,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,87990
DELL,INSPIRON,Intel,Core i5,10th,8,DDR4,0,1024,Windows,32,0,Casual,14.96,0,No,No,40890
DELL,Vostro,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,43590
MSI,Pulse,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,109590
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,106990
HP,14s,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,57990
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,94990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.3,1,No,Yes,69490
Lenovo,Thinkbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,3,Yes,Yes,68990
Lenovo,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,0,Casual,15.6,1,No,Yes,77990
DELL,G7,NVIDIA,Core i5,Missing,8,DDR4,0,0,Missing,32,8,Casual,0,0,No,No,179990
MSI,Stealth,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,6,Casual,15.6,2,No,No,119990
HP,Core,Intel,Core i5,10th,8,DDR4,512,0,Windows,32,0,Casual,14.1,0,No,No,38799
ASUS,Zephyrus,Intel,Core i5,11th,8,DDR4,1024,0,Windows,32,4,Casual,16,1,No,No,194990
HP,Envy,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,104000
ALIENWARE,Core,NVIDIA,Core i5,Missing,8,DDR4,0,0,Missing,32,8,Casual,0,0,No,No,345390
MSI,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,14,0,No,No,76990
MSI,Modern,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,No,49990
MSI,Core,Intel,Core i5,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,38990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,58990
Lenovo,Yoga,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,13.3,3,Yes,Yes,74798
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,32,4,Casual,15.6,1,No,No,114990
MSI,Creator,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,6,Casual,16,0,No,No,192990
SAMSUNG,Galaxy,Qualcomm,Core i5,Missing,8,DDR4,0,0,Windows,32,0,Casual,0,0,No,No,38990
ASUS,ZenBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,No,105990
MSI,Prestige,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,79990
Lenovo,Core,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,No,36990
ASUS,VivoBook,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,58990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,55490
ASUS,Vivobook,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,92990
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,69990
HP,Ryzen,AMD,Core i5,Missing,8,DDR4,512,0,Windows,32,4,Casual,16.1,0,No,No,68100
ASUS,Zenbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,84990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,59990
HP,15s,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,39990
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,44390
ASUS,ZenBook,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,2,Casual,14,1,No,Yes,124990
Lenovo,Yoga,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,13.3,1,Yes,Yes,77990
DELL,XPS,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,111890
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,2,Casual,15.6,0,No,No,122410
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,No,65990
ASUS,Zenbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,0,Casual,14,1,No,Yes,72990
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,69267
DELL,Inspiron,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,44690
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,71090
HP,Spectre,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,0,Casual,13.3,1,Yes,No,179990
Lenovo,IdeaPad,Intel,Core i5,Missing,8,DDR4,512,0,Windows,32,4,Casual,16,3,No,Yes,81490
MSI,Katana,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,74990
HP,15s,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,44490
DELL,Vostro,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,44427
acer,Swift,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,4,Casual,14,1,No,No,99990
MSI,Summit,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,4,Casual,15.6,2,Yes,No,154990
DELL,Ryzen,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,32,0,Casual,15.6,0,No,No,57900
ASUS,ZenBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,No,Yes,79990
ASUS,TUF,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,32,4,Gaming,15.6,0,No,No,95990
Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,74590
MSI,Modern,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,55490
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,No,35990
acer,Aspire,Intel,Core i5,8th,8,DDR4,0,1024,Windows,64,2,Casual,15.6,1,No,Yes,59999
Lenovo,Yoga,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,0,Casual,13.3,1,No,Yes,122990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,ThinNlight,14,1,No,Yes,66490
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,53400
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,55090
acer,Predator,Intel,Core i5,10th,8,DDR4,2048,0,Windows,64,8,Casual,15.6,1,No,No,159990
ASUS,Zenbook,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,91990
HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,90190
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,51649
ASUS,Vivobook,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,56990
MSI,GS66,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,8,Casual,0,0,No,No,207290
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,74500
DELL,XPS,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,114990
HP,Core,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,41990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,ThinNlight,14,0,No,No,61990
ASUS,ROG,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,4,Casual,15.6,0,No,No,82990
acer,Aspire,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,No,29990
APPLE,MacBook,Intel,Core i5,10th,8,DDR4,512,0,Mac,64,0,Casual,13,1,No,No,159990
ASUS,VivoBook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,No,46990
APPLE,MacBook,Intel,Core i5,8th,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,172090
HP,Pavilion,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,13.3,1,No,Yes,84208
Lenovo,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,0,Casual,14,0,Yes,No,88488
acer,Predator,Pre-installed,Core i5,Missing,8,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,129999
MSI,Modern,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,0,No,No,64990
MSI,Prestige,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,109990
MSI,Sword,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,74990
Lenovo,Ideapad,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,60990
ASUS,Core,Intel,Core i5,10th,8,DDR4,1024,0,Windows,64,6,Casual,15.6,1,Yes,No,224990
DELL,XPS,Intel,Core i5,Missing,8,DDR4,0,0,Missing,32,0,ThinNlight,0,1,No,No,139990
HP,OMEN,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,No,159990
MSI,Modern,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,56490
ASUS,Core,Intel,Core i5,10th,8,DDR4,256,1024,Windows,32,2,Casual,15.6,0,No,No,58990
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,52632
ASUS,Vivobook,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,0,Casual,14,1,No,No,104990
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,0,Casual,14,1,No,Yes,76990
ASUS,EeeBook,Intel,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,31990
MSI,Sword,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,86990
Lenovo,ThinkPad,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,13.3,3,No,No,147000
ASUS,TUF,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,4,Casual,15.6,1,No,No,87990
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,47990
acer,Swift,Intel,Core i5,7th,8,DDR4,256,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,86867
